"uniprot_gn_id","external_gene_name"
"Q3TD51","Picalm"
"Q3TDD9","Ppp1r21"
"Q3TDK6","Rogdi"
"Q3TF41","Nap1l1"
"Q3TG37","Slc9a3r1"
"Q3TJ39","Rab5c"
"Q3TJI8","Hsd11b1"
"Q3TJN1","Bcat1"
"Q3TL44","Nlrx1"
"Q3TLP5","Echdc2"
"Q3TLQ4","Mrps6"
"Q3TMP8","Tmem38a"
"Q3TMU8","Dpysl4"
"Q3TPC7","Phyh"
"Q3TQ70","Gnb1"
"Q3TT92","Dpysl3"
"Q3TVJ8","Ssr4"
"Q3TWV4","Ap2m1"
"Q3TWZ9","Cltb"
"Q3TX38","Vdac3"
"Q3TXS7","Psmd1"
"Q3TXX4","Slc17a7"
"Q3TYV5","Cnp"
"Q3U0T9","Rab35"
"Q3U276","Sdhaf1"
"Q3U344","Arf3"
"Q3U4H0","Mapre1"
"Q3U4U6","Cct3"
"Q3U4W5","Rab6a"
"Q3U4W8","Usp5"
"Q3U518","Prkcsh"
"Q3U5Q7","Cmpk2"
"Q3U6D7","Syngr1"
"Q3U9V4","Gnb2"
"Q3UBU9","Fkbp3"
"Q3UCH0","Rpl6"
"Q3UDK5","Cox7a2l"
"Q3UDP9","Slc16a3"
"Q3UDZ1","Rhog"
"Q3UEK1","Mbl2"
"Q3UEN8","Cyp3a11"
"Q3UFJ3","Pdha1"
"Q3UGN1","Gng7"
"Q3UGR5","Hdhd2"
"Q3UGY7","Fbxo41"
"Q3UHB1","Nt5dc3"
"Q3UHH5","Gnaq"
"Q3UHJ0","Aak1"
"Q3UHK5","Atp1a2"
"Q3UHW9","Cfl2"
"Q3UII2","Cd82"
"Q3UJ34","Ass1"
"Q3UJ76","Ap2s1"
"Q3UJU9","Rmdn3"
"Q3UM45","Ppp1r7"
"Q3UM63","Slc30a1"
"Q3UMR5","Mcu"
"Q3UN10","Wfs1"
"Q3UN47","Endog"
"Q3UNH4","Gprin1"
"Q3UNX5","Acsm3"
"Q3UNZ8","Cryzl2"
"Q3UPX0","Crym"
"Q3UQL2","Cops3"
"Q3UR55","Atp1b2"
"Q3URE1","Acsf3"
"Q3URG1","Tppp"
"Q3URS9","Ccdc51"
"Q3UUI3","Them4"
"Q3UV17","Krt76"
"Q3UW87","Cyp3a13"
"Q3UWU7","Diras2"
"Q3UX10","Tubal3"
"Q3UYC0","Ppm1h"
"Q3UYK6","Slc1a2"
"Q3UYM8","Plp1"
"Q3V235","Phb2"
"Q3V2F7","Fabp1"
"Q3V3R1","Mthfd1l"
"Q3ZB60","Mag"
"Q49S98","Slc32a1"
"Q4FE56","Usp9x"
"Q4FJL0","Rab10"
"Q4FJM5","Rhob"
"Q4FJQ0","Rab7"
"Q4FJX4","Csrp1"
"Q4FJX9","Sod2"
"Q4KL81","Actg1"
"Q4KMM3","Oxr1"
"Q4VAE3","Tmem65"
"Q4VAG4","Rpl22"
"Q4W4C9","Vsnl1"
"Q501P1","Fbln7"
"Q505D7","Opa3"
"Q50H70","Aqp4"
"Q52L78","Cryab"
"Q540I4","Flot1"
"Q542H7","Fabp4"
"Q542I9","Psmc1"
"Q542P2","Gpm6a"
"Q542P5","Cbr2"
"Q542R8","Gnaz"
"Q542S9","Sntb2"
"Q542T7","Rab3c"
"Q542X7","Cct2"
"Q543J0","Uox"
"Q543Q4","Rab3d"
"Q543S2","Gnao1"
"Q543Y7","Pacsin1"
"Q544B1","Aldh2"
"Q544F7","Gabra1"
"Q544J2","Pdk4"
"Q544Q7","Atp1b3"
"Q544Y7","Cfl1"
"Q545A2","Slc25a5"
"Q545F0","Mif"
"Q545K0","Ndufa1"
"Q545N7","Ckmt1"
"Q545P0","Atp1b1"
"Q545R3","Ndrg1"
"Q545S0","Tst"
"Q545V3","Eno2"
"Q545Y3","Tpm1"
"Q546G4","Alb"
"Q548L4","Gad2"
"Q548L6","Gad1"
"Q548W7","Dbi"
"Q561N4","Ube2l3"
"Q564F4","Cct4"
"Q56A15","Gm10053"
"Q56A15","Cycs"
"Q571F8","Gls2"
"Q58E64","Eef1a1"
"Q59J78","Ndufaf2"
"Q5BLJ9","Rpl27"
"Q5EBJ4","Ermn"
"Q5F258","Git1"
"Q5F285","Tmem256"
"Q5FW57","Gm4952"
"Q5FW97","Eno1"
"Q5FW97","Eno1b"
"Q5FW98","Cox7b"
"Q5FWB7","Aldoa"
"Q5FWK3","Arhgap1"
"Q5M8N0","Cnrip1"
"Q5M8N4","Sdr39u1"
"Q5M9J9","Akr1b7"
"Q5M9M0","Rpl13a"
"Q5M9N8","Rpl7"
"Q5NC81","Nme1"
"Q5NCE8","Mrs2"
"Q5NCI4","Pgam2"
"Q5ND42","Pitpna"
"Q5RKZ7","Mocs1"
"Q5SQX6","Cyfip2"
"Q5SS40","Ywhae"
"Q5SSP3","Slc1a4"
"Q5SUC3","Canx"
"Q5SV02","Rad50"
"Q5SVF7","Nipsnap1"
"Q5SVG5","Ap1b1"
"Q5SVY2","Ppia"
"Q5SW18","Pafah1b1"
"Q5SW83","Actr2"
"Q5SX39","Myh4"
"Q5U458","Dnajc11"
"Q5XJY4","Parl"
"Q60597","Ogdh"
"Q60625","Icam5"
"Q60692","Psmb6"
"Q60759","Gcdh"
"Q60771","Cldn11"
"Q60930","Vdac2"
"Q60932","Vdac1"
"Q60936","Coq8a"
"Q61102","Abcb7"
"Q61171","Prdx2"
"Q61176","Arg1"
"Q61301","Ctnna2"
"Q61411","Hras"
"Q61425","Hadh"
"Q61553","Fscn1"
